,N submissions (early wave),N made (early wave),N assayed (early wave),N crystallised (early wave),Mdn shipment date (early wave),Mdn N words (early wave),Gmean IC50 (early wave),Min IC50 (early wave),made-over-submitted % (early wave),crystal-over-made % (early wave),N IC50 ≤ 50 µM (early wave),N IC50 ≤ 20 µM (early wave),N IC50 ≤ 1 µM (early wave),N IC50 ≤ 0.1 µM (early wave),sub50-over-assayed % (early wave)
Aaron Morris,81,52,3,39,2021-04-16 00:00:00,17,37.800000000000004,37.8,64±5%,75±6%,1,0,0,0,33±27%
DSi-Poised Library,40,34,1,34,2020-02-01 00:00:00,12,,,85±6%,100±0%,0,0,0,0,0±0%
Nir London,276,182,53,22,2020-05-13 00:00:00,15,8.706607744209517,0.504,66±3%,12±2%,14,11,1,0,26±6%
Matthew Robinson,374,115,51,20,2020-06-16 00:00:00,28,69.2555578088635,16.4,31±2%,17±4%,4,1,0,0,8±4%
Ed Griffen,69,37,25,18,2020-07-29 00:00:00,20,31.70795629187495,0.261,54±6%,49±8%,9,5,2,0,36±10%
Jan Hullaert,137,36,11,18,2020-06-10 00:00:00,18,29.27419017366767,8.3,26±4%,50±8%,6,4,0,0,55±15%
Bart Lenselink,169,79,3,13,2020-04-27 00:00:00,36,46.24316165661684,35.7,47±4%,16±4%,1,0,0,0,33±27%
Tryfon Zarganis,65,24,12,13,2020-04-17 00:00:00,52,26.875338537918996,3.63,37±6%,54±10%,7,4,0,0,58±14%
Alpha Lee,91,39,32,10,2020-08-05 00:00:00,5,20.071229135678706,0.05,43±5%,26±7%,13,12,2,1,41±9%
Benjamin Perry,82,34,18,9,2020-06-24 00:00:00,44,34.096341552549845,7.55,41±5%,26±8%,6,4,0,0,33±11%
Daren Fearon,331,25,8,8,2020-04-27 00:00:00,12,15.51917381557127,2.75,8±1%,32±9%,4,3,0,0,50±18%
Jag Heer,101,39,13,6,2020-06-24 00:00:00,14,97.3445979692734,81.7,39±5%,15±6%,0,0,0,0,0±0%
Lori Ferrins,28,27,15,6,2020-07-21 00:00:00,89,,,96±4%,22±8%,0,0,0,0,0±0%
Med-Chem team,72,23,12,6,2020-06-10 00:00:00,35,9.807114240838745,0.543,32±5%,26±9%,9,6,1,0,75±12%
Nauris Narvaiss,83,20,3,4,2020-06-30 00:00:00,28,23.978105611266677,3.74,24±5%,20±9%,1,1,0,0,33±27%
Gabriel Grand,66,10,1,4,2020-05-13 00:00:00,232,98.99999999999999,99.0,15±4%,40±15%,0,0,0,0,0±0%
Duncan Miller,25,8,4,4,2020-05-16 12:00:00,32,15.162552091331275,10.6,32±9%,50±18%,3,3,0,0,75±22%
Peter Kenny,14,4,4,4,2020-08-19 00:00:00,116,9.735245866285231,1.27,29±12%,100±0%,3,3,0,0,75±22%
Bruce Lefker,13,5,2,3,2020-07-14 00:00:00,20,7.780000000000001,7.78,38±13%,60±22%,1,1,0,0,50±35%
Warren Thompson,231,35,8,2,2020-04-27 00:00:00,79,30.427055979214817,14.2,15±2%,6±4%,3,2,0,0,38±17%
Eric Jnoff,67,6,2,2,2020-06-24 00:00:00,14,6.499230723708767,1.1,9±3%,33±19%,2,1,0,0,100±0%
Michal K,59,5,5,2,2020-09-01 00:00:00,29,88.33491123943544,54.6,8±4%,40±22%,0,0,0,0,0±0%
David Briggs,71,3,3,2,2020-05-26 00:00:00,12,10.877817581469433,0.466,4±2%,67±27%,2,1,1,0,67±27%
Daniel Zaidman,10,3,3,2,,87,2.17,2.17,30±14%,67±27%,1,1,0,0,33±27%
Jordi JuarezJimenez,46,2,2,2,2020-05-26 00:00:00,94,3.0599999999999996,3.06,4±3%,100±0%,1,1,0,0,50±35%
Adam Nelson,12,2,0,2,2020-06-20 00:00:00,20,,,17±11%,100±0%,0,0,0,0,nan±nan%
Adam Smalley,11,2,2,2,2020-07-11 00:00:00,7,0.728,0.728,18±12%,100±0%,1,1,1,0,50±35%
Viromics githubsubmission,3,2,0,2,2021-04-16 00:00:00,3102,,,67±27%,100±0%,0,0,0,0,nan±nan%
John Spencer,155,19,5,1,2020-05-07 00:00:00,40,,,12±3%,5±5%,0,0,0,0,0±0%
Anna Cederbalk,10,7,2,1,2020-06-24 00:00:00,172,,,70±14%,14±13%,0,0,0,0,0±0%
Álvaro Lorente Macías,48,6,1,1,2020-06-03 12:00:00,81,,,12±5%,17±15%,0,0,0,0,0±0%
Anthony Sama,41,5,0,1,2020-05-20 00:00:00,13,,,12±5%,20±18%,0,0,0,0,nan±nan%
Peter Brown,46,3,0,1,2020-05-07 00:00:00,3,,,7±4%,33±27%,0,0,0,0,nan±nan%
Alexander Minges,13,3,0,1,2020-04-17 00:00:00,0,,,23±12%,33±27%,0,0,0,0,nan±nan%
Gerard Pujadas,7,3,0,1,2020-04-09 00:00:00,508,,,43±19%,33±27%,0,0,0,0,nan±nan%
Vladas Oleinikovas,7,3,2,1,2020-07-14 00:00:00,5,99.49999999999997,99.5,43±19%,33±27%,0,0,0,0,0±0%
Simon Williams,13,2,1,1,2020-05-16 12:00:00,43,1.98,1.98,15±10%,50±35%,1,1,0,0,100±0%
Tobias Grabe,7,2,0,1,2020-05-13 12:00:00,28,,,29±17%,50±35%,0,0,0,0,nan±nan%
Steven Verhelst,7,2,0,1,2020-05-23 00:00:00,77,,,29±17%,50±35%,0,0,0,0,nan±nan%
Daniel Flaherty,7,1,0,1,2020-05-07 00:00:00,6,,,14±13%,100±0%,0,0,0,0,nan±nan%
Aaron Keeley,1,1,1,1,2020-09-01 00:00:00,120,,,100±0%,100±0%,0,0,0,0,0±0%
Gianfranco Lopopolo,84,17,3,0,2020-05-07 00:00:00,49,13.781133639321716,4.35,20±4%,0±0%,3,1,0,0,100±0%
Chris De Graaf,101,13,2,0,2020-05-13 00:00:00,71,30.76068919904104,24.2,13±3%,0±0%,2,0,0,0,100±0%
Juan Salamanca Viloria,19,12,12,0,2020-09-01 00:00:00,233,99.49999999999997,99.5,63±11%,0±0%,0,0,0,0,0±0%
Comp Chem Team,18,8,7,0,2020-07-14 00:00:00,18,,,44±12%,0±0%,0,0,0,0,0±0%
Rodolfo Do Couto Maia,9,7,1,0,2020-06-30 00:00:00,72,,,78±14%,0±0%,0,0,0,0,0±0%
Vijay Shahani,13,6,0,0,2020-04-27 00:00:00,526,,,46±14%,0±0%,0,0,0,0,nan±nan%
Joost Uitdehaag,18,5,0,0,2020-05-13 00:00:00,65,,,28±11%,0±0%,0,0,0,0,nan±nan%
Alexander Metz,9,5,0,0,2020-04-09 00:00:00,165,,,56±17%,0±0%,0,0,0,0,nan±nan%
Agnieszka Bronowska,46,4,1,0,2020-06-02 12:00:00,6,6.679999999999999,6.68,9±4%,0±0%,1,1,0,0,100±0%
Kusuri Murakumo,25,4,0,0,2020-06-01 00:00:00,486,,,16±7%,0±0%,0,0,0,0,nan±nan%
Ian Craig,17,4,0,0,2020-06-24 00:00:00,55,,,24±10%,0±0%,0,0,0,0,nan±nan%
Benjamin Merget,17,4,2,0,2020-07-08 00:00:00,55,,,24±10%,0±0%,0,0,0,0,0±0%
Erik Gilberg,6,4,2,0,2020-06-24 00:00:00,111,,,67±19%,0±0%,0,0,0,0,0±0%
Nimesh Mistry,195,3,0,0,2020-06-01 00:00:00,26,,,2±1%,0±0%,0,0,0,0,nan±nan%
Tamas Szommer,41,3,3,0,2020-05-26 00:00:00,57,40.20000000000001,40.2,7±4%,0±0%,1,0,0,0,33±27%
Mihaela Smilova,35,3,1,0,2020-05-13 00:00:00,31,2.72,2.72,9±5%,0±0%,1,1,0,0,100±0%
John Chodera,25,3,1,0,2020-04-09 00:00:00,37,,,12±6%,0±0%,0,0,0,0,0±0%
Stuart Ward,19,3,3,0,2020-06-16 00:00:00,39,8.608135686662935,3.8,16±8%,0±0%,2,2,0,0,67±27%
Anthony Aimon,18,3,0,0,2020-04-17 00:00:00,36,,,17±9%,0±0%,0,0,0,0,nan±nan%
Franca Klingler,13,3,0,0,2020-05-26 00:00:00,383,,,23±12%,0±0%,0,0,0,0,nan±nan%
Renato Freitas,6,3,0,0,2020-05-26 00:00:00,56,,,50±20%,0±0%,0,0,0,0,nan±nan%
Jonas Verhellen,144,2,0,0,2020-04-17 00:00:00,58,,,1±1%,0±0%,0,0,0,0,nan±nan%
Marcel Jaspars,20,2,2,0,,319,,,10±7%,0±0%,0,0,0,0,0±0%
Austin Clyde,18,2,0,0,2020-06-16 12:00:00,65,,,11±7%,0±0%,0,0,0,0,nan±nan%
Patrick Killoran,17,2,0,0,2020-04-13 00:00:00,12,,,12±8%,0±0%,0,0,0,0,nan±nan%
Jarryl D,14,2,0,0,2020-06-02 12:00:00,190,,,14±9%,0±0%,0,0,0,0,nan±nan%
Arindam Talukdar,66,1,0,0,2020-07-08 00:00:00,30,,,2±2%,0±0%,0,0,0,0,nan±nan%
William Mccorkindale,55,1,1,0,2020-08-05 00:00:00,11,99.49999999999997,99.5,2±2%,0±0%,0,0,0,0,0±0%
Jarvist Moore Frost,50,1,0,0,2020-05-20 00:00:00,366,,,2±2%,0±0%,0,0,0,0,nan±nan%
Nicholas Kindon,37,1,0,0,2020-05-20 00:00:00,80,,,3±3%,0±0%,0,0,0,0,nan±nan%
Ruth Brenk,27,1,1,0,2020-04-27 00:00:00,570,78.50000000000003,78.5,4±4%,0±0%,0,0,0,0,0±0%
Indira Sen,27,1,0,0,2020-05-20 00:00:00,24,,,4±4%,0±0%,0,0,0,0,nan±nan%
Kristijan Vukovic,25,1,0,0,2021-05-26 00:00:00,163,,,4±4%,0±0%,0,0,0,0,nan±nan%
Rainer Wilcken,19,1,0,0,2020-05-26 00:00:00,72,,,5±5%,0±0%,0,0,0,0,nan±nan%
Swarnendu Sasmal,16,1,0,0,2020-05-20 00:00:00,4,,,6±6%,0±0%,0,0,0,0,nan±nan%
Kim Tai Tran,16,1,0,0,2020-04-27 00:00:00,34,,,6±6%,0±0%,0,0,0,0,nan±nan%
Casper Steinmann,14,1,0,0,2020-06-30 00:00:00,211,,,7±7%,0±0%,0,0,0,0,nan±nan%
Paul Brear,13,1,1,0,2020-05-13 00:00:00,9,1.89,1.89,8±7%,0±0%,1,1,0,0,100±0%
Faraz Shaikh,10,1,0,0,2020-06-01 00:00:00,0,,,10±9%,0±0%,0,0,0,0,nan±nan%
Martin Mcphillie,7,1,0,0,2020-04-09 00:00:00,82,,,14±13%,0±0%,0,0,0,0,nan±nan%
Neha Rana,6,1,1,0,2020-05-13 00:00:00,220,37.400000000000006,37.4,17±15%,0±0%,1,0,0,0,100±0%
Faraz Mohammadali Shaikh,6,1,0,0,2020-05-26 00:00:00,163,,,17±15%,0±0%,0,0,0,0,nan±nan%
Luis Antunes,6,1,0,0,2020-05-26 00:00:00,314,,,17±15%,0±0%,0,0,0,0,nan±nan%
Hannah Stewart,4,1,0,0,2020-04-17 00:00:00,31,,,25±22%,0±0%,0,0,0,0,nan±nan%
Serillon Dylan,4,1,0,0,2020-05-13 00:00:00,71,,,25±22%,0±0%,0,0,0,0,nan±nan%
Tomas Vojkovsky,3,1,0,0,2020-04-09 00:00:00,98,,,33±27%,0±0%,0,0,0,0,nan±nan%
Trippier Lab,3,1,0,0,2020-04-27 00:00:00,7,,,33±27%,0±0%,0,0,0,0,nan±nan%
Antonio Fernandez,3,1,0,0,2020-05-20 00:00:00,14,,,33±27%,0±0%,0,0,0,0,nan±nan%
Anton Hamann,3,1,0,0,2020-05-26 00:00:00,85,,,33±27%,0±0%,0,0,0,0,nan±nan%
Tim Rooney,2,1,0,0,2020-06-30 00:00:00,49,,,50±35%,0±0%,0,0,0,0,nan±nan%
Gabriel NavarreteVazquez,2,1,0,0,2020-05-13 00:00:00,65,,,50±35%,0±0%,0,0,0,0,nan±nan%
Sadit Joarder,312,0,0,0,,16,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Njabulo Gumede,131,0,0,0,,7,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Keith Davies,124,0,0,0,,111,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Benjamin Brown,124,0,0,0,,471,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Sidney Elmer,93,0,0,0,,153,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Abintha SATEC,88,0,0,0,,6,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
anonymous,83,0,0,0,,2,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Bruce Milne,67,0,0,0,,294,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Vidya Desai,54,0,0,0,,48,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Marcos Santana,50,0,0,0,,68,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Sally Mcgrath,43,0,0,0,,49,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Ashvethaa Rameshkumar,40,0,0,0,,3,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Will Poole,39,0,0,0,,7,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Lynda Brown,36,0,0,0,,261,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Tetiana Matviyuk,36,0,0,0,,42,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Rafał Madaj,34,0,0,0,,18,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Charlie Nichols,33,0,0,0,,226,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Arijit Roy,33,0,0,0,,70,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Ahnaf Khan,31,0,0,0,,6,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Ralph Robinson,30,0,0,0,,31,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
David Mann,30,0,0,0,,25,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Thomas Baikstis,30,0,0,0,,10,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Yoishik Rakshit,25,0,0,0,,3,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Sean Mckenna,21,0,0,0,,15,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Doug Orsi,20,0,0,0,,1,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Daniel Cox,20,0,0,0,,107,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Mher FAST,20,0,0,0,,2,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Simon Wheeler,19,0,0,0,,23,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Sandeep Reddy Kandukuri,18,0,0,0,,3,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Paul Gehrtz,18,0,0,0,,24,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Amit Vernekar,16,0,0,0,,102,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Huber Simon,16,0,0,0,,86,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Jagadeesh Prathap Kilaru,15,0,0,0,,70,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Janina Sprenger,14,0,0,0,,619,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Mussa Quareshy,14,0,0,0,,372,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Selena and Mark University of Leeds,13,0,0,0,,9,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Bogdan Zagribelnyy,13,0,0,0,,219,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Vikas Sikervar,13,0,0,0,,257,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Liz Morris,13,0,0,0,,9,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Robert Quinlan,12,0,0,0,,96,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Mark Pickworth,12,0,0,0,,238,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
